,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,
2010-09-01,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,
2011-06-01,,,,,,,,,,,,,
2011-09-01,,,,,,,,,,,,,
2011-12-01,,,,,,,,,,,,,
2012-03-01,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,
2012-09-01,,,,,,,,,,,,,
2012-12-01,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,
2014-03-01,,,,,,,,,,,,,
2014-06-01,,,,,,,,,,,,,
2014-09-01,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,
2017-09-01,,,,,,,,,,,,,
2017-12-01,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,
2018-06-01,,,,,,,,,,,,,
2018-09-01,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,
2019-06-01,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,
2020-09-01,,,,,,,,,,,,,
2020-12-01,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,0.08060638705186098,-3.0996903083519665
2021-06-01,,,,,,902.3304229,272.1145891,27.97359674999999,,103.554091,11.75349413,0.07979565546960636,1.2557357551214186
2021-09-01,,,,,,,,,,,,0.07948215014694579,0.15338049538242737
2021-12-01,,,,,,,,,,,,0.08015215347551881,-0.37414427927186233
2022-03-01,,,,,,,,,,,,0.08034225588144568,-2.0655576550281136
2022-06-01,2.316440677966102,0.3210169491525424,2.035593220338983,0.1744067796610169,4.3500000000000005,-53.349081580000004,-26.27353407,-31.23948748,,89.40572593,8.30145208,0.0813916807115435,-0.6649769379198497
2022-09-01,3.5427419354838707,0.49,3.112096774193549,0.2669354838709677,2.834999999999999,53.349081580000004,26.27353407,31.23948748,5146.0,3.164274067,-0.62145208,0.08303757530842908,0.3527307896319138
2022-12-01,2.8663492063492058,0.396031746031746,2.5187301587301585,0.2168253968253968,3.3387301587301583,-13.554883039999998,37.92903466,-1.495929579,-5146.0,-3.93034079,-0.491380197,0.08365070621357944,0.18822718500743876
2023-03-01,2.6459677419354843,0.3662903225806451,2.325,0.1996774193548386,3.616935483870968,13.554883039999998,-37.92903466,1.495929579,10130.0,2.6203407899999998,-0.558619803,0.08422928296137862,-0.5805778481853119
