,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,
2010-09-01,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,
2011-06-01,,,,,,,,,,,,,
2011-09-01,,,,,,,,,,,,,
2011-12-01,,,,,,,,,,,,,
2012-03-01,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,
2012-09-01,,,,,,,,,,,,,
2012-12-01,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,
2014-03-01,,,,,,,,,,,,,
2014-06-01,,,,,,,,,,,,,
2014-09-01,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,
2017-09-01,,,,,,,,,,,,,
2017-12-01,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,
2018-06-01,,,,,,,,,,,,,
2018-09-01,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,
2019-06-01,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,
2020-09-01,,,,,,,,,,,,,
2020-12-01,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,-0.9371843947630956
2021-06-01,,,,,,-99.66709635,-99.70601583000001,-98.64197579,36.0,44.29826092,6.362083191999999,,
2021-09-01,,,,,,,,,,,,0.07947317494505866,
2021-12-01,148.78555555555556,,122.8538888888889,20.417222222222225,,,,,,,,0.08088804802056132,-1.071658643349441
2022-03-01,120.16333333333333,,99.21984126984128,16.48984126984127,,,,,100.0,-0.191578012,0.40643396400000004,0.08352162917909571,-0.57120358193454
2022-06-01,94.78135593220338,,73.67830508474576,11.307966101694914,,-88.62657083,-71.46139856,-57.24970677000001,27.0,8.666581234999999,2.487568067,0.08407916536650488,0.42877396742909485
2022-09-01,142.40048387096778,4.781451612903226,94.10870967741936,10.845000000000004,,88.62657083,71.46139856,57.24970677000001,103.0,1.303418765,4.832431933,0.08517642042715168,-0.5330472024959683
2022-12-01,121.93269841269844,4.094285714285715,80.58206349206351,9.286825396825398,,-110.3148343,-76.09846937,-26.921649289999998,24.0,-0.622561342,-2.977281832,0.08580386913287164,-0.061188732332043076
2023-03-01,112.14225806451611,3.765322580645161,74.1116129032258,8.540483870967742,,38.604834329999996,54.67846937,19.60164929,40.0,-0.517438658,-1.802718168,0.08589642091370658,-0.17552960207227059
