,0,1,2
PER_사후,-0.037144264129979225,-0.012095959389597451,0.055136492856596525
PBR_사후,-0.024259024682690956,-0.02412769918309331,0.07843966820361271
PCR_사후,-0.01490634069841763,-0.01611092106208581,0.055697437987078206
PSR_사후,0.07934804086494979,-0.027353516956072414,0.08299710414846379
배당수익률_사후,0.006339369838619574,-0.011003062032406299,0.03165326391557946
정상영업이익증가율_사후,0.03099514138679192,0.016300870578591586,0.03605854531152441
순이익증가율_사후,0.02428573759151606,-0.0021939890478542396,0.03503623676259206
1주당순이익_사후,0.1057602389619132,0.01175213581594481,0.02760433144926981
부채비율_사후,0.21826114190610676,-0.02461288451277676,0.03021556342501402
매출액정상영업이익률_사후,0.07125345675144239,-0.01574352874631176,0.01154689494805672
매출액증가율_사후,-0.010278266663012636,0.026316391577800666,0.04171009424592547
소형주_사후,0.2153657866657214,-0.010869159278882868,0.04677894871360145
외국인 순매수 강도_사후,0.04570886854733354,0.03088576212286492,0.026443766623237497
